Date	Selector	Album	Artist
2014-12-28	Everybody	#festivevortex - Best of 2014 special	Various
2015-01-04	@faberfedor	Sgt. Pepper's Lonely Hearts Club Band - Instrumental Version	The Beatles
2015-01-11	@kleptones	Hot Dreams	Timber Timbre
2015-01-18	@pamac66	Funk The World, Vol. 5	Fort Knox Five
2015-01-25	Everybody	#tmolvortex - Sub-120 seconds special	Various
2015-02-01	@Holette	Volumes 9 & 10	The Desert Sessions
2015-02-08	@tibieryo	Old	Danny Brown
2015-02-15	@cdrose_writer	Tricolore	Haiku Salut
2015-02-22	Everybody	#sexyvortexy - Risqué special	Various
2015-03-01	@nessiest	Right from Real	Lydia Ainsworth
2015-03-08	@wojsvenwoj	The Secret Language of Subways	Amy X Neuberg
2015-03-15	@saucer	Gay Dog Food	Mykki Blanco
2015-03-22	@cakehugga	Ivory Tower Soundtrack	Chilly Gonzales
2015-03-29	Everybody	#walkofshamevortex - Morning after special	Various
2015-04-05	@JimMcCauley	The Joy of Sing-Sing	Sing Sing
2015-04-12	@mutster101	Undtil The End Of The World Soundtrack	Various
2015-04-19	@mrhig	Reflektor	Arcade Fire
2015-04-26	Everybody	#electionvortex - political special	Various
2015-05-03	@emmaprice	Garbage	Garbage
2015-05-10	@akx	Always & Forever - Americana 1 mixtape	Various
2015-05-17	@saucer	The Coincidentalist	Howe Gelb
2015-05-24	@rougeforever	Close Watch	John Cale
2015-05-31	Everybody	#summervortex - Summery special	Various
2015-06-07	@kleptones	Journeys By DJ - 70 Minutes Of Madness	Coldcut / Various
2015-06-14	@samsmitter	I Am Kurious Oranj	The Fall
2015-06-21	@holette	The Spice of Life	Marlena Shaw
2015-06-28	Everybody	#livevortex - Very live special	Various
2015-07-05	@eastvanhalen	Fencewalk: The Anthology	Mandrill
2015-07-12	@AndersHanson	Faded Seaside Glamour	Delays
2015-07-19	@Tibieryo	YT/ST	Yamantaka//Sonic Titan
2015-07-26	Everybody	#lastdancevortex	Various
2015-08-02	@thejayarr	3rd Eye Vision	Hieroglyphics
